"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)",Comments,"Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,report_as
203835301,Photo,"Larus michahellis","Goéland leucophée",,"Thomas Brooks",1/29/2020,2020,1,29,1000,Switzerland,CH-VD,Vaud,,"CHUV Hôtel des Patients",46.528,6.6422,,Inconnu,"En vol",Unspecified,,,,,,,,S63927213,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,1.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/203835301","https://ebird.org/view/checklist/S63927213","https://ebird.org/species/yelgul1",false,yelgul1
203065001,Photo,"Larus michahellis","Goéland leucophée",,"Alexandre Figueiredo",1/25/2020,2020,1,25,1300,Switzerland,CH-ZH,Zürich,,Katzensee,47.4316,8.4959,,,,Unspecified,,,,,,,,S63818847,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,0.0,0,committed,,"https://ebird.org/profile/MTExNjE5MQ",4618,3464,"https://macaulaylibrary.org/asset/203065001","https://ebird.org/view/checklist/S63818847","https://ebird.org/species/yelgul1",false,yelgul1
202338521,Photo,"Larus michahellis","Goéland leucophée",,"Maryse Neukomm",1/21/2020,2020,1,21,1217,Switzerland,CH-BL,Basel-Landschaft,,"Ergolzmündung Augst-Kaiseraugst",47.5382,7.7138,,,,Unspecified,,,,,,,,S63620875,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,4.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",2183,3274,"https://macaulaylibrary.org/asset/202338521","https://ebird.org/view/checklist/S63620875","https://ebird.org/species/yelgul1",false,yelgul1
200229911,Photo,"Larus michahellis","Goéland leucophée",,"Maryse Neukomm",1/18/2020,2020,1,18,940,Switzerland,CH-NE,Neuchâtel,,"Fanel (general area)",46.9797,7.0402,,,,Unspecified,,,,,,,,S63511837,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,4.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1231,1847,"https://macaulaylibrary.org/asset/200229911","https://ebird.org/view/checklist/S63511837","https://ebird.org/species/yelgul1",false,yelgul1
200229901,Photo,"Larus michahellis","Goéland leucophée",,"Maryse Neukomm",1/18/2020,2020,1,18,940,Switzerland,CH-NE,Neuchâtel,,"Fanel (general area)",46.9797,7.0402,,,,Unspecified,,,,,,,,S63511837,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,0.0,0,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1035,1552,"https://macaulaylibrary.org/asset/200229901","https://ebird.org/view/checklist/S63511837","https://ebird.org/species/yelgul1",false,yelgul1
200199601,Photo,"Larus michahellis","Goéland leucophée",,"Stephen Chang",1/14/2020,2020,1,14,1500,Switzerland,CH-ZH,Zürich,,Zürich--Platzspitz,47.3811,8.5397,,Inconnu,,Unspecified,,,,,,,,S63467809,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,1.0,1,committed,,,769,1029,"https://macaulaylibrary.org/asset/200199601","https://ebird.org/view/checklist/S63467809","https://ebird.org/species/yelgul1",false,yelgul1
200199591,Photo,"Larus michahellis","Goéland leucophée",,"Stephen Chang",1/14/2020,2020,1,14,1500,Switzerland,CH-ZH,Zürich,,Zürich--Platzspitz,47.3811,8.5397,,Inconnu,,Unspecified,,,,,,,,S63467809,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,2.0,1,committed,,,754,1003,"https://macaulaylibrary.org/asset/200199591","https://ebird.org/view/checklist/S63467809","https://ebird.org/species/yelgul1",false,yelgul1
200196961,Photo,"Larus michahellis","Goéland leucophée",,"Stephen Chang",1/13/2020,2020,1,13,1000,Switzerland,CH-ZH,Zürich,,"Zürich Stadt (City of Zurich)",47.3769,8.5414,,Inconnu,,Unspecified,,,,,,,,S63467759,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,3.0,1,committed,,,1098,1461,"https://macaulaylibrary.org/asset/200196961","https://ebird.org/view/checklist/S63467759","https://ebird.org/species/yelgul1",false,yelgul1
200196951,Photo,"Larus michahellis","Goéland leucophée",,"Stephen Chang",1/13/2020,2020,1,13,1000,Switzerland,CH-ZH,Zürich,,"Zürich Stadt (City of Zurich)",47.3769,8.5414,,Inconnu,,Unspecified,,,,,,,,S63467759,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,3.0,1,committed,,,749,998,"https://macaulaylibrary.org/asset/200196951","https://ebird.org/view/checklist/S63467759","https://ebird.org/species/yelgul1",false,yelgul1
199964401,Photo,"Larus michahellis","Goéland leucophée",,"Peter Hinow",7/3/2017,2017,7,3,1030,Switzerland,CH-ZH,Zürich,,"Zürich Stadt (City of Zurich)",47.3769,8.5414,,,,Unspecified,,,,,,,,S63031591,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,0.0,0,committed,,"https://ebird.org/profile/NjU4MTIw",2697,4046,"https://macaulaylibrary.org/asset/199964401","https://ebird.org/view/checklist/S63031591","https://ebird.org/species/yelgul1",false,yelgul1
198606221,Photo,"Larus michahellis","Goéland leucophée",,"Leonardo Rassu",4/23/2018,2018,4,23,1200,Switzerland,CH-TI,Ticino,,"Bolle di Magadino--Nord--Bolla Rossa",46.1618,8.8571,,,,Unspecified,,,,,,,,S63258995,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,0.0,0,committed,,,1225,1840,"https://macaulaylibrary.org/asset/198606221","https://ebird.org/view/checklist/S63258995","https://ebird.org/species/yelgul1",false,yelgul1
197649131,Photo,"Larus michahellis","Goéland leucophée",,"Leonardo Rassu",5/20/2017,2017,5,20,930,Switzerland,CH-TI,Ticino,,"Bolle di Magadino--Nord--Bolla Rossa",46.1618,8.8571,,,,Unspecified,,,,,,,,S63082479,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,0.0,0,committed,,,1418,2127,"https://macaulaylibrary.org/asset/197649131","https://ebird.org/view/checklist/S63082479","https://ebird.org/species/yelgul1",false,yelgul1
197648731,Photo,"Larus michahellis","Goéland leucophée",,"Leonardo Rassu",5/20/2017,2017,5,20,930,Switzerland,CH-TI,Ticino,,"Bolle di Magadino--Nord--Bolla Rossa",46.1618,8.8571,,,,Unspecified,,,,,,,,S63082479,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,0.0,0,committed,,,2145,3220,"https://macaulaylibrary.org/asset/197648731","https://ebird.org/view/checklist/S63082479","https://ebird.org/species/yelgul1",false,yelgul1
197648541,Photo,"Larus michahellis","Goéland leucophée",,"Leonardo Rassu",5/20/2017,2017,5,20,930,Switzerland,CH-TI,Ticino,,"Bolle di Magadino--Nord--Bolla Rossa",46.1618,8.8571,,,,Unspecified,,,,,,,,S63082479,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,0.0,0,committed,,,1122,1685,"https://macaulaylibrary.org/asset/197648541","https://ebird.org/view/checklist/S63082479","https://ebird.org/species/yelgul1",false,yelgul1
195852581,Photo,"Larus michahellis","Goéland leucophée",,"Leonardo Rassu",4/21/2016,2016,4,21,1400,Switzerland,CH-TI,Ticino,,"Bolle di Magadino--Nord--Bolla Rossa",46.1618,8.8571,,,,Unspecified,,,,,,,,S61399588,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,0.0,0,committed,,,1202,1803,"https://macaulaylibrary.org/asset/195852581","https://ebird.org/view/checklist/S61399588","https://ebird.org/species/yelgul1",false,yelgul1
195651431,Photo,"Larus michahellis","Goéland leucophée",,"Jessy Lopez Herra",12/28/2019,2019,12,28,920,Switzerland,CH-SG,"Sankt Gallen",,Rapperswil--Kloster,47.2269,8.8115,,,,Unspecified,,,,,,,,S62689632,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,0.0,0,committed,,"https://ebird.org/profile/NzU0NDEx",3456,4608,"https://macaulaylibrary.org/asset/195651431","https://ebird.org/view/checklist/S62689632","https://ebird.org/species/yelgul1",false,yelgul1
194001341,Photo,"Larus michahellis","Goéland leucophée",,"The Wildlab",12/19/2019,2019,12,19,1459,Switzerland,CH-GE,Genève,,"Plage de la Savonnière",46.2646,6.2005,,,,Unspecified,,,,,,,,S62440648,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,2.0,1,committed,,,2536,3382,"https://macaulaylibrary.org/asset/194001341","https://ebird.org/view/checklist/S62440648","https://ebird.org/species/yelgul1",false,yelgul1
192425441,Photo,"Larus michahellis","Goéland leucophée",,"Aleksandar Urošević",12/8/2019,2019,12,8,950,Switzerland,CH-GE,Genève,,"Parc Mon Repos et de la Perle du Lac",46.2199,6.1521,,Inconnu,,Unspecified,,,,,,,,S62196298,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,3.0,1,committed,,"https://ebird.org/profile/NTIxNTk5",2196,3636,"https://macaulaylibrary.org/asset/192425441","https://ebird.org/view/checklist/S62196298","https://ebird.org/species/yelgul1",false,yelgul1
191439821,Photo,"Larus michahellis","Goéland leucophée",,"Leonardo Rassu",4/3/2016,2016,4,3,1130,Switzerland,CH-TI,Ticino,,"Bolle di Magadino--Nord--Bolla Rossa",46.1618,8.8571,,,,Unspecified,,,,,,,,S61482719,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,0.0,0,committed,,,812,1218,"https://macaulaylibrary.org/asset/191439821","https://ebird.org/view/checklist/S61482719","https://ebird.org/species/yelgul1",false,yelgul1
191439681,Photo,"Larus michahellis","Goéland leucophée",,"Leonardo Rassu",4/3/2016,2016,4,3,1130,Switzerland,CH-TI,Ticino,,"Bolle di Magadino--Nord--Bolla Rossa",46.1618,8.8571,,,,Unspecified,,,,,,,,S61482719,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,0.0,0,committed,,,796,1155,"https://macaulaylibrary.org/asset/191439681","https://ebird.org/view/checklist/S61482719","https://ebird.org/species/yelgul1",false,yelgul1
191419711,Photo,"Larus michahellis","Goéland leucophée",,"Leonardo Rassu",6/2/2018,2018,6,2,0,Switzerland,CH-TI,Ticino,,"Bolle di Magadino--Nord--Bolla Rossa",46.1618,8.8571,,,,Unspecified,,,,,,,,S61242032,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,0.0,0,committed,,,896,1346,"https://macaulaylibrary.org/asset/191419711","https://ebird.org/view/checklist/S61242032","https://ebird.org/species/yelgul1",false,yelgul1
190620131,Photo,"Larus michahellis","Goéland leucophée",,"Thomas Brooks",11/30/2019,2019,11,30,1430,Switzerland,CH-GE,Genève,,"Port des Eaux-Vives et Baby-plage",46.2092,6.1624,,Inconnu,"En vol",Unspecified,,,,,,,,S61865290,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,3.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/190620131","https://ebird.org/view/checklist/S61865290","https://ebird.org/species/yelgul1",false,yelgul1
190620121,Photo,"Larus michahellis","Goéland leucophée",,"Thomas Brooks",11/30/2019,2019,11,30,1430,Switzerland,CH-GE,Genève,,"Port des Eaux-Vives et Baby-plage",46.2092,6.1624,,Inconnu,,Unspecified,,,,,,,,S61865290,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,3.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/190620121","https://ebird.org/view/checklist/S61865290","https://ebird.org/species/yelgul1",false,yelgul1
189339791,Photo,"Larus michahellis","Goéland leucophée",,"Andy  Woodward",11/23/2019,2019,11,23,843,Switzerland,CH-GE,Genève,,"Parc Mon Repos et de la Perle du Lac",46.2199,6.1521,,Inconnu,,Unspecified,,,,,,,,S61667078,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,4.0,1,committed,,,2336,4153,"https://macaulaylibrary.org/asset/189339791","https://ebird.org/view/checklist/S61667078","https://ebird.org/species/yelgul1",false,yelgul1
186953181,Photo,"Larus michahellis","Goéland leucophée",,"Maryse Neukomm",6/1/2009,2009,6,1,930,Switzerland,CH-AG,Aargau,,Flachsee,47.3281,8.3685,,,,Unspecified,,,,,,,,S61297702,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,1.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1269,1907,"https://macaulaylibrary.org/asset/186953181","https://ebird.org/view/checklist/S61297702","https://ebird.org/species/yelgul1",false,yelgul1
183604781,Photo,"Larus michahellis","Goéland leucophée",,"Berend van Baak",10/18/2019,2019,10,18,1200,Switzerland,CH-VD,Vaud,,"Fanel--Centre Nature ASPO (Sauge)",46.9746,7.0519,,,,Unspecified,,,,,,,,S60838726,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,2.0,1,committed,,,1987,2580,"https://macaulaylibrary.org/asset/183604781","https://ebird.org/view/checklist/S60838726","https://ebird.org/species/yelgul1",false,yelgul1
182921701,Photo,"Larus michahellis","Goéland leucophée",,"Raphaël Nussbaumer",10/8/2019,2019,10,8,940,Switzerland,CH-VD,Vaud,,"Lac Léman (CH) (general area) (open water)",46.4809,6.5832,,,,Unspecified,,,,,,,,S60451003,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,3.5,2,committed,,"https://ebird.org/profile/NDk3NjE1",3343,5015,"https://macaulaylibrary.org/asset/182921701","https://ebird.org/view/checklist/S60451003","https://ebird.org/species/yelgul1",false,yelgul1
182921611,Photo,"Larus michahellis","Goéland leucophée",,"Raphaël Nussbaumer",10/8/2019,2019,10,8,940,Switzerland,CH-VD,Vaud,,"Lac Léman (CH) (general area) (open water)",46.4809,6.5832,,,,Unspecified,,,,,,,,S60451003,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,2.0,2,committed,,"https://ebird.org/profile/NDk3NjE1",1357,2037,"https://macaulaylibrary.org/asset/182921611","https://ebird.org/view/checklist/S60451003","https://ebird.org/species/yelgul1",false,yelgul1
182921331,Photo,"Larus michahellis","Goéland leucophée",,"Raphaël Nussbaumer",10/8/2019,2019,10,8,940,Switzerland,CH-VD,Vaud,,"Lac Léman (CH) (general area) (open water)",46.4809,6.5832,,,,Unspecified,,,,,,,,S60451003,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,3.0,2,committed,,"https://ebird.org/profile/NDk3NjE1",3712,5568,"https://macaulaylibrary.org/asset/182921331","https://ebird.org/view/checklist/S60451003","https://ebird.org/species/yelgul1",false,yelgul1
182921311,Photo,"Larus michahellis","Goéland leucophée",,"Raphaël Nussbaumer",10/8/2019,2019,10,8,940,Switzerland,CH-VD,Vaud,,"Lac Léman (CH) (general area) (open water)",46.4809,6.5832,,,,Unspecified,,,,,,,,S60451003,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,2.5,2,committed,,"https://ebird.org/profile/NDk3NjE1",3712,5568,"https://macaulaylibrary.org/asset/182921311","https://ebird.org/view/checklist/S60451003","https://ebird.org/species/yelgul1",false,yelgul1
182921021,Photo,"Larus michahellis","Goéland leucophée",,"Raphaël Nussbaumer",10/8/2019,2019,10,8,940,Switzerland,CH-VD,Vaud,,"Lac Léman (CH) (general area) (open water)",46.4809,6.5832,,,,Unspecified,,,,,,,,S60451003,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,2.5,2,committed,,"https://ebird.org/profile/NDk3NjE1",3712,5568,"https://macaulaylibrary.org/asset/182921021","https://ebird.org/view/checklist/S60451003","https://ebird.org/species/yelgul1",false,yelgul1
182920991,Photo,"Larus michahellis","Goéland leucophée",,"Raphaël Nussbaumer",10/8/2019,2019,10,8,940,Switzerland,CH-VD,Vaud,,"Lac Léman (CH) (general area) (open water)",46.4809,6.5832,,,,Unspecified,,,,,,,,S60451003,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,3.0,2,committed,,"https://ebird.org/profile/NDk3NjE1",3712,5568,"https://macaulaylibrary.org/asset/182920991","https://ebird.org/view/checklist/S60451003","https://ebird.org/species/yelgul1",false,yelgul1
182920981,Photo,"Larus michahellis","Goéland leucophée",,"Raphaël Nussbaumer",10/8/2019,2019,10,8,940,Switzerland,CH-VD,Vaud,,"Lac Léman (CH) (general area) (open water)",46.4809,6.5832,,,,Unspecified,,,,,,,,S60451003,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,2.0,2,committed,,"https://ebird.org/profile/NDk3NjE1",3712,5568,"https://macaulaylibrary.org/asset/182920981","https://ebird.org/view/checklist/S60451003","https://ebird.org/species/yelgul1",false,yelgul1
182920951,Photo,"Larus michahellis","Goéland leucophée",,"Raphaël Nussbaumer",10/8/2019,2019,10,8,940,Switzerland,CH-VD,Vaud,,"Lac Léman (CH) (general area) (open water)",46.4809,6.5832,,,,Unspecified,,,,,,,,S60451003,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,4.0,2,committed,,"https://ebird.org/profile/NDk3NjE1",3362,5043,"https://macaulaylibrary.org/asset/182920951","https://ebird.org/view/checklist/S60451003","https://ebird.org/species/yelgul1",false,yelgul1
182920921,Photo,"Larus michahellis","Goéland leucophée",,"Raphaël Nussbaumer",10/8/2019,2019,10,8,940,Switzerland,CH-VD,Vaud,,"Lac Léman (CH) (general area) (open water)",46.4809,6.5832,,,,Unspecified,,,,,,,,S60451003,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,3.5,2,committed,,"https://ebird.org/profile/NDk3NjE1",2709,4064,"https://macaulaylibrary.org/asset/182920921","https://ebird.org/view/checklist/S60451003","https://ebird.org/species/yelgul1",false,yelgul1
182920881,Photo,"Larus michahellis","Goéland leucophée",,"Raphaël Nussbaumer",10/8/2019,2019,10,8,940,Switzerland,CH-VD,Vaud,,"Lac Léman (CH) (general area) (open water)",46.4809,6.5832,,,,Unspecified,,,,,,,,S60451003,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,3.5,2,committed,,"https://ebird.org/profile/NDk3NjE1",2754,4131,"https://macaulaylibrary.org/asset/182920881","https://ebird.org/view/checklist/S60451003","https://ebird.org/species/yelgul1",false,yelgul1
179306471,Photo,"Larus michahellis","Goéland leucophée",,"Stefan ""Mozu"" Gleissberg",9/21/2019,2019,9,21,1140,Switzerland,CH-AG,Aargau,,"Klingnauer Stausee",47.5833,8.2333,,,,Unspecified,,,,,,,,S59976770,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,0.0,0,committed,,"https://ebird.org/profile/MTMwMzYx",900,1200,"https://macaulaylibrary.org/asset/179306471","https://ebird.org/view/checklist/S59976770","https://ebird.org/species/yelgul1",false,yelgul1
177274781,Photo,"Larus michahellis","Goéland leucophée",,"Tommy Grav",9/15/2019,2019,9,15,1326,Switzerland,CH-GE,Genève,,"Parc Mon Repos et de la Perle du Lac",46.2199,6.1521,,,,Unspecified,,,,,,,,S59816952,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,0.0,0,committed,,"https://ebird.org/profile/MzM2ODk1",596,898,"https://macaulaylibrary.org/asset/177274781","https://ebird.org/view/checklist/S59816952","https://ebird.org/species/yelgul1",false,yelgul1
177236431,Photo,"Larus michahellis","Goéland leucophée",,"Tommy Grav",9/15/2019,2019,9,15,1120,Switzerland,CH-GE,Genève,,"Parc Mon Repos et de la Perle du Lac",46.2199,6.1521,,,,Unspecified,,,,,,,,S59814493,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,0.0,0,committed,,"https://ebird.org/profile/MzM2ODk1",1492,1682,"https://macaulaylibrary.org/asset/177236431","https://ebird.org/view/checklist/S59814493","https://ebird.org/species/yelgul1",false,yelgul1
177181091,Photo,"Larus michahellis","Goéland leucophée",,"Maryse Neukomm",5/21/2009,2009,5,21,1130,Switzerland,CH-BL,Basel-Landschaft,,"Ergolzmündung Augst-Kaiseraugst",47.5382,7.7138,,Inconnu,,Unspecified,,,,,,,,S59814360,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,0.0,0,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1268,1907,"https://macaulaylibrary.org/asset/177181091","https://ebird.org/view/checklist/S59814360","https://ebird.org/species/yelgul1",false,yelgul1
177044711,Photo,"Larus michahellis","Goéland leucophée",,"Tommy Grav",9/14/2019,2019,9,14,925,Switzerland,CH-GE,Genève,,"CH-Geneva-Rue de Fribourg 16 (46.2113,6.1457)",46.2282,6.1001,,,,Unspecified,,,,,,,,S59786181,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,0.0,0,committed,,"https://ebird.org/profile/MzM2ODk1",660,1088,"https://macaulaylibrary.org/asset/177044711","https://ebird.org/view/checklist/S59786181","https://ebird.org/species/yelgul1",false,yelgul1
176947061,Photo,"Larus michahellis","Goéland leucophée",,"Honza Grünwald",9/6/2019,2019,9,6,709,Switzerland,CH-VD,Vaud,,"Ville de Montreux",46.4312,6.9109,,Adulte,,Unspecified,,,,,,,,S59545687,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,0.0,0,committed,,"https://ebird.org/profile/OTIwMTgz",800,1200,"https://macaulaylibrary.org/asset/176947061","https://ebird.org/view/checklist/S59545687","https://ebird.org/species/yelgul1",false,yelgul1
173720471,Photo,"Larus michahellis","Goéland leucophée",,"Kathy Carroll",8/19/2019,2019,8,19,917,Switzerland,CH-LU,Luzern,,"Luzern--Inseli Park",47.0494,8.3142,,Juvénile,,Unspecified,,,,,,,,S59121473,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,3.0,2,committed,,"https://ebird.org/profile/MzQ1Nzcy",3456,4608,"https://macaulaylibrary.org/asset/173720471","https://ebird.org/view/checklist/S59121473","https://ebird.org/species/yelgul1",false,yelgul1
173456051,Photo,"Larus michahellis","Goéland leucophée",,"A Emmerson",8/13/2019,2019,8,13,1056,Switzerland,CH-SG,"Sankt Gallen",,"Rorschacher Burcht (general area)",47.4897,9.5127,,Adulte,,Unspecified,,,,,,,,S58967993,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,2.0,1,committed,,"https://ebird.org/profile/Njc4Mzk2",1022,1428,"https://macaulaylibrary.org/asset/173456051","https://ebird.org/view/checklist/S58967993","https://ebird.org/species/yelgul1",false,yelgul1
173271981,Photo,"Larus michahellis michahellis","Goéland leucophée (michahellis)",,"Andrew Birch",8/18/2019,2019,8,18,733,Switzerland,CH-ZH,Zürich,,"Zürich Stadt (City of Zurich)",47.3769,8.5414,,Inconnu,,Unspecified,,,,,,,,S59068730,,,,,,,,,"Larus michahellis",yelgul3,Groupe,6286.0,,,0.0,0,committed,,"https://ebird.org/profile/MzMzMzM",1500,2000,"https://macaulaylibrary.org/asset/173271981","https://ebird.org/view/checklist/S59068730","https://ebird.org/species/yelgul1",false,yelgul1
172212291,Photo,"Larus michahellis","Goéland leucophée",,"Zlatan Celebic",8/1/2019,2019,8,1,1330,Switzerland,CH-GE,Genève,,"CH - Carouge - Arve",46.1868,6.1435,,Inconnu,,Unspecified,,,,,,,,S58944319,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,0.0,0,committed,,"https://ebird.org/profile/ODIyODg5",1251,1681,"https://macaulaylibrary.org/asset/172212291","https://ebird.org/view/checklist/S58944319","https://ebird.org/species/yelgul1",false,yelgul1
171716411,Photo,"Larus michahellis","Goéland leucophée",,"Laurent Esselen",7/25/2019,2019,7,25,810,Switzerland,CH-VD,Vaud,,"Les Grangettes--Lagune des Saviez",46.3947,6.917,,Immature,,Unspecified,,,,,,,,S58518073,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,3.0,1,committed,,"https://ebird.org/profile/MzA0ODI3",1920,2878,"https://macaulaylibrary.org/asset/171716411","https://ebird.org/view/checklist/S58518073","https://ebird.org/species/yelgul1",false,yelgul1
171716401,Photo,"Larus michahellis","Goéland leucophée",,"Laurent Esselen",7/25/2019,2019,7,25,810,Switzerland,CH-VD,Vaud,,"Les Grangettes--Lagune des Saviez",46.3947,6.917,,Immature,,Unspecified,,,,,,,,S58518073,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,4.0,1,committed,,"https://ebird.org/profile/MzA0ODI3",2250,3373,"https://macaulaylibrary.org/asset/171716401","https://ebird.org/view/checklist/S58518073","https://ebird.org/species/yelgul1",false,yelgul1
171716381,Photo,"Larus michahellis","Goéland leucophée",,"Laurent Esselen",7/25/2019,2019,7,25,810,Switzerland,CH-VD,Vaud,,"Les Grangettes--Lagune des Saviez",46.3947,6.917,,Immature,,Unspecified,,,,,,,,S58518073,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,4.0,1,committed,,"https://ebird.org/profile/MzA0ODI3",2076,3115,"https://macaulaylibrary.org/asset/171716381","https://ebird.org/view/checklist/S58518073","https://ebird.org/species/yelgul1",false,yelgul1
171716261,Photo,"Larus michahellis","Goéland leucophée",,"Laurent Esselen",7/25/2019,2019,7,25,810,Switzerland,CH-VD,Vaud,,"Les Grangettes--Lagune des Saviez",46.3947,6.917,,Adulte,,Unspecified,,,,,,,,S58518073,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,4.0,1,committed,,"https://ebird.org/profile/MzA0ODI3",1742,2610,"https://macaulaylibrary.org/asset/171716261","https://ebird.org/view/checklist/S58518073","https://ebird.org/species/yelgul1",false,yelgul1
170976711,Photo,"Larus michahellis","Goéland leucophée",,"Urs Geiser",10/26/2015,2015,10,26,0,Switzerland,CH-AG,Aargau,,"Klingnauer Stausee",47.5833,8.2333,,Inconnu,,Unspecified,,,,,,,,S58715661,,,,,,,,,"Larus michahellis",yelgul1,Species,6284.0,,,0.0,0,committed,,"https://ebird.org/profile/NTQ5Mjkw",1200,1600,"https://macaulaylibrary.org/asset/170976711","https://ebird.org/view/checklist/S58715661","https://ebird.org/species/yelgul1",false,yelgul1
170493481,Photo,"Larus michahellis","Goéland leucophée",,"Corinne Benavides",6/30/2019,2019,6,30,1902,Switzerland,CH-NE,Neuchâtel,,"Port de St-Blaise",47.0104,6.9844,,Inconnu,,Unspecified,,,,,,,,S58574935,,,,,,,,,"Larus michahellis",yelgul1,Species,6244.0,,,0.0,0,committed,,"https://ebird.org/profile/MTQwNDQ5NA",,,"https://macaulaylibrary.org/asset/170493481","https://ebird.org/view/checklist/S58574935","https://ebird.org/species/yelgul1",false,yelgul1
169180661,Photo,"Larus michahellis","Goéland leucophée",,"Urs Geiser",9/7/2014,2014,9,7,0,Switzerland,CH-NE,Neuchâtel,,"Fanel (general area)",46.9797,7.0402,,Inconnu,,Unspecified,,,,,,,,S58361102,,,,,,,,,"Larus michahellis",yelgul1,Species,6244.0,,,0.0,0,committed,,"https://ebird.org/profile/NTQ5Mjkw",1050,1400,"https://macaulaylibrary.org/asset/169180661","https://ebird.org/view/checklist/S58361102","https://ebird.org/species/yelgul1",false,yelgul1
168542231,Photo,"Larus michahellis","Goéland leucophée",,"Urs Geiser",4/29/2014,2014,4,29,0,Switzerland,CH-BE,Bern,,"La Neuveville",47.0615,7.0936,,Inconnu,,Unspecified,,,,,,,,S58239584,,,,,,,,,"Larus michahellis",yelgul1,Species,6244.0,,,0.0,0,committed,,"https://ebird.org/profile/NTQ5Mjkw",1200,1600,"https://macaulaylibrary.org/asset/168542231","https://ebird.org/view/checklist/S58239584","https://ebird.org/species/yelgul1",false,yelgul1
