"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)",Comments,"Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,report_as
203864201,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Peter Hinow",7/3/2017,2017,7,3,1030,Switzerland,CH-ZH,Zürich,,"Zürich Stadt (City of Zurich)",47.3769,8.5414,,,,Unspecified,,,,,,,,S63031591,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,0.0,0,committed,,"https://ebird.org/profile/NjU4MTIw",724,1086,"https://macaulaylibrary.org/asset/203864201","https://ebird.org/view/checklist/S63031591","https://ebird.org/species/bkhgul",false,bkhgul
203859741,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Darko Matevski",1/30/2020,2020,1,30,1241,Switzerland,CH-BS,Basel-Stadt,,"7 Oberer Rheinweg, Basel, Basel-Stadt, CH (47.56, 7.591)",47.5599,7.5913,,,,Unspecified,,,,,,,,S63932085,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,0.0,0,committed,,"https://ebird.org/profile/MTI0MDk4Ng",3024,4032,"https://macaulaylibrary.org/asset/203859741","https://ebird.org/view/checklist/S63932085","https://ebird.org/species/bkhgul",false,bkhgul
203836101,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Thomas Brooks",1/17/2020,2020,1,17,750,Switzerland,CH-VD,Vaud,,"Île de Préverenges",46.5074,6.5355,,Inconnu,,Unspecified,,,,,,,,S63468005,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,3.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/203836101","https://ebird.org/view/checklist/S63468005","https://ebird.org/species/bkhgul",false,bkhgul
200542521,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Berty & Ernst Haueter",4/3/2014,2014,4,3,1500,Switzerland,CH-ZH,Zürich,,Rällikerried,47.3245,8.7025,,,,Unspecified,,,,,,,,S63594249,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,0.0,0,committed,,"https://ebird.org/profile/MTQ4NjM5MQ",3240,4320,"https://macaulaylibrary.org/asset/200542521","https://ebird.org/view/checklist/S63594249","https://ebird.org/species/bkhgul",false,bkhgul
200512791,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Andy  Woodward",1/20/2020,2020,1,20,1142,Switzerland,CH-GE,Genève,,"Rade de Genève (Geneva Bay)",46.2111,6.1597,,Inconnu,,Unspecified,,,,,,,,S63586790,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,4.0,1,committed,,,2721,4837,"https://macaulaylibrary.org/asset/200512791","https://ebird.org/view/checklist/S63586790","https://ebird.org/species/bkhgul",false,bkhgul
200196711,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Stephen Chang",1/13/2020,2020,1,13,1000,Switzerland,CH-ZH,Zürich,,"Zürich Stadt (City of Zurich)",47.3769,8.5414,,Inconnu,,Unspecified,,,,,,,,S63467759,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,4.0,1,committed,,,3672,4896,"https://macaulaylibrary.org/asset/200196711","https://ebird.org/view/checklist/S63467759","https://ebird.org/species/bkhgul",false,bkhgul
200196701,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Stephen Chang",1/13/2020,2020,1,13,1000,Switzerland,CH-ZH,Zürich,,"Zürich Stadt (City of Zurich)",47.3769,8.5414,,Inconnu,,Unspecified,,,,,,,,S63467759,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,4.0,1,committed,,,3672,4896,"https://macaulaylibrary.org/asset/200196701","https://ebird.org/view/checklist/S63467759","https://ebird.org/species/bkhgul",false,bkhgul
200196691,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Stephen Chang",1/13/2020,2020,1,13,1000,Switzerland,CH-ZH,Zürich,,"Zürich Stadt (City of Zurich)",47.3769,8.5414,,Inconnu,,Unspecified,,,,,,,,S63467759,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,4.0,1,committed,,,3672,4896,"https://macaulaylibrary.org/asset/200196691","https://ebird.org/view/checklist/S63467759","https://ebird.org/species/bkhgul",false,bkhgul
200196661,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Stephen Chang",1/13/2020,2020,1,13,1000,Switzerland,CH-ZH,Zürich,,"Zürich Stadt (City of Zurich)",47.3769,8.5414,,Inconnu,,Unspecified,,,,,,,,S63467759,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,3.0,1,committed,,,3672,4896,"https://macaulaylibrary.org/asset/200196661","https://ebird.org/view/checklist/S63467759","https://ebird.org/species/bkhgul",false,bkhgul
200196631,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Stephen Chang",1/13/2020,2020,1,13,1000,Switzerland,CH-ZH,Zürich,,"Zürich Stadt (City of Zurich)",47.3769,8.5414,,Inconnu,,Unspecified,,,,,,,,S63467759,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,3.0,1,committed,,,3672,4896,"https://macaulaylibrary.org/asset/200196631","https://ebird.org/view/checklist/S63467759","https://ebird.org/species/bkhgul",false,bkhgul
200108441,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Stephen Chang",1/12/2020,2020,1,12,1100,Switzerland,CH-ZH,Zürich,,"Zürich Stadt (City of Zurich)",47.3769,8.5414,,Inconnu,,Unspecified,,,,,,,,S63467665,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,3.0,1,committed,,,3672,4896,"https://macaulaylibrary.org/asset/200108441","https://ebird.org/view/checklist/S63467665","https://ebird.org/species/bkhgul",false,bkhgul
200108401,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Stephen Chang",1/12/2020,2020,1,12,1100,Switzerland,CH-ZH,Zürich,,"Zürich Stadt (City of Zurich)",47.3769,8.5414,,Inconnu,,Unspecified,,,,,,,,S63467665,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,3.0,1,committed,,,3672,4896,"https://macaulaylibrary.org/asset/200108401","https://ebird.org/view/checklist/S63467665","https://ebird.org/species/bkhgul",false,bkhgul
199975081,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Berty & Ernst Haueter",1/14/2017,2017,1,14,1100,Switzerland,CH-TG,Thurgau,,"Stein am Rhein--Nilibucht",47.6536,8.8693,,,,Unspecified,,,,,,,,S63495828,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,0.0,0,committed,,"https://ebird.org/profile/MTQ4NjM5MQ",1927,2455,"https://macaulaylibrary.org/asset/199975081","https://ebird.org/view/checklist/S63495828","https://ebird.org/species/bkhgul",false,bkhgul
199179591,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Leonardo Rassu",1/11/2015,2015,1,11,0,Switzerland,CH-TI,Ticino,,"Delta della Maggia--Area Golf",46.148,8.7862,,,,Unspecified,,,,,,,,S61482477,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,4.0,1,committed,,,2256,3384,"https://macaulaylibrary.org/asset/199179591","https://ebird.org/view/checklist/S61482477","https://ebird.org/species/bkhgul",false,bkhgul
199132041,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Andy  Woodward",1/13/2020,2020,1,13,1144,Switzerland,CH-GE,Genève,,"Rade de Genève (Geneva Bay)",46.2111,6.1597,,Inconnu,,Unspecified,,,,,,,,S63352190,,,,,"Counted groups of 50 as I walked. Most birds stationary.",,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,4.0,1,committed,,,2346,4171,"https://macaulaylibrary.org/asset/199132041","https://ebird.org/view/checklist/S63352190","https://ebird.org/species/bkhgul",false,bkhgul
198463371,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Maryse Neukomm",1/10/2020,2020,1,10,1517,Switzerland,CH-BL,Basel-Landschaft,,"Birsfelder Stau (Birsköpfli,Kraftwerkinsel, Biotop am Stausee)",47.5585,7.6298,,,,Unspecified,,,,,,,,S63234677,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,2.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1258,1887,"https://macaulaylibrary.org/asset/198463371","https://ebird.org/view/checklist/S63234677","https://ebird.org/species/bkhgul",false,bkhgul
198308081,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Maryse Neukomm",1/9/2020,2020,1,9,1455,Switzerland,CH-BL,Basel-Landschaft,,"Allschwiler Weiher, Basel-Landschaft,",47.5442,7.5546,,,,Unspecified,,,,,,,,S63202042,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,5.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",3251,4877,"https://macaulaylibrary.org/asset/198308081","https://ebird.org/view/checklist/S63202042","https://ebird.org/species/bkhgul",false,bkhgul
198307961,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Maryse Neukomm",1/9/2020,2020,1,9,1455,Switzerland,CH-BL,Basel-Landschaft,,"Allschwiler Weiher, Basel-Landschaft,",47.5442,7.5546,,,,Unspecified,,,,,,,,S63202042,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,4.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",2104,3156,"https://macaulaylibrary.org/asset/198307961","https://ebird.org/view/checklist/S63202042","https://ebird.org/species/bkhgul",false,bkhgul
198307811,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Maryse Neukomm",1/9/2020,2020,1,9,1455,Switzerland,CH-BL,Basel-Landschaft,,"Allschwiler Weiher, Basel-Landschaft,",47.5442,7.5546,,,,Unspecified,,,,,,,,S63202042,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,5.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",2104,3156,"https://macaulaylibrary.org/asset/198307811","https://ebird.org/view/checklist/S63202042","https://ebird.org/species/bkhgul",false,bkhgul
198307581,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Maryse Neukomm",1/9/2020,2020,1,9,1455,Switzerland,CH-BL,Basel-Landschaft,,"Allschwiler Weiher, Basel-Landschaft,",47.5442,7.5546,,,,Unspecified,,,,,,,,S63202042,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,3.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",2042,3063,"https://macaulaylibrary.org/asset/198307581","https://ebird.org/view/checklist/S63202042","https://ebird.org/species/bkhgul",false,bkhgul
198307361,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Maryse Neukomm",1/9/2020,2020,1,9,1455,Switzerland,CH-BL,Basel-Landschaft,,"Allschwiler Weiher, Basel-Landschaft,",47.5442,7.5546,,,,Unspecified,,,,,,,,S63202042,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,3.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1603,2405,"https://macaulaylibrary.org/asset/198307361","https://ebird.org/view/checklist/S63202042","https://ebird.org/species/bkhgul",false,bkhgul
198307251,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Maryse Neukomm",1/9/2020,2020,1,9,1455,Switzerland,CH-BL,Basel-Landschaft,,"Allschwiler Weiher, Basel-Landschaft,",47.5442,7.5546,,,,Unspecified,,,,,,,,S63202042,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,3.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1355,2032,"https://macaulaylibrary.org/asset/198307251","https://ebird.org/view/checklist/S63202042","https://ebird.org/species/bkhgul",false,bkhgul
198284991,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Denis Neukomm",1/9/2020,2020,1,9,1455,Switzerland,CH-BL,Basel-Landschaft,,"Allschwiler Weiher, Basel-Landschaft,",47.5442,7.5546,,,,Unspecified,,,,,,,,S63202861,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,5.0,1,committed,,,3712,5568,"https://macaulaylibrary.org/asset/198284991","https://ebird.org/view/checklist/S63202861","https://ebird.org/species/bkhgul",false,bkhgul
198284951,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Denis Neukomm",1/9/2020,2020,1,9,1455,Switzerland,CH-BL,Basel-Landschaft,,"Allschwiler Weiher, Basel-Landschaft,",47.5442,7.5546,,,,Unspecified,,,,,,,,S63202861,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,5.0,1,committed,,,3403,2269,"https://macaulaylibrary.org/asset/198284951","https://ebird.org/view/checklist/S63202861","https://ebird.org/species/bkhgul",false,bkhgul
198284931,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Denis Neukomm",1/9/2020,2020,1,9,1455,Switzerland,CH-BL,Basel-Landschaft,,"Allschwiler Weiher, Basel-Landschaft,",47.5442,7.5546,,,,Unspecified,,,,,,,,S63202861,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,5.0,1,committed,,,1519,2278,"https://macaulaylibrary.org/asset/198284931","https://ebird.org/view/checklist/S63202861","https://ebird.org/species/bkhgul",false,bkhgul
198284911,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Denis Neukomm",1/9/2020,2020,1,9,1455,Switzerland,CH-BL,Basel-Landschaft,,"Allschwiler Weiher, Basel-Landschaft,",47.5442,7.5546,,,,Unspecified,,,,,,,,S63202861,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,5.0,1,committed,,,1796,1197,"https://macaulaylibrary.org/asset/198284911","https://ebird.org/view/checklist/S63202861","https://ebird.org/species/bkhgul",false,bkhgul
197708461,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Maryse Neukomm",1/6/2020,2020,1,6,1044,Switzerland,CH-AG,Aargau,,"Klingnauer Stausee",47.5833,8.2333,,,,Unspecified,,,,,,,,S63086999,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,5.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1968,2952,"https://macaulaylibrary.org/asset/197708461","https://ebird.org/view/checklist/S63086999","https://ebird.org/species/bkhgul",false,bkhgul
197708001,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Maryse Neukomm",1/6/2020,2020,1,6,1044,Switzerland,CH-AG,Aargau,,"Klingnauer Stausee",47.5833,8.2333,,,,Unspecified,,,,,,,,S63086999,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,3.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1560,2340,"https://macaulaylibrary.org/asset/197708001","https://ebird.org/view/checklist/S63086999","https://ebird.org/species/bkhgul",false,bkhgul
197635281,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Maryse Neukomm",1/5/2020,2020,1,5,1350,Switzerland,CH-BL,Basel-Landschaft,,"Ergolzmündung Augst-Kaiseraugst",47.5382,7.7138,,,,Unspecified,,,,,,,,S63053005,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,2.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1629,2443,"https://macaulaylibrary.org/asset/197635281","https://ebird.org/view/checklist/S63053005","https://ebird.org/species/bkhgul",false,bkhgul
196308151,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Jessy Lopez Herra",12/31/2019,2019,12,31,1427,Switzerland,CH-SG,"Sankt Gallen",,"Jona Stampf",47.2148,8.8441,,,,Unspecified,,,,,,,,S62809026,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,0.0,0,committed,,"https://ebird.org/profile/NzU0NDEx",3456,4608,"https://macaulaylibrary.org/asset/196308151","https://ebird.org/view/checklist/S62809026","https://ebird.org/species/bkhgul",false,bkhgul
196050821,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Marie Stridh",12/30/2019,2019,12,30,1400,Switzerland,CH-ZH,Zürich,,"Zürich schiffstation",47.366,8.5417,,,,Unspecified,,,,,,,,S62777134,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,0.0,0,committed,,"https://ebird.org/profile/MTAwNDY4Ng",1104,1280,"https://macaulaylibrary.org/asset/196050821","https://ebird.org/view/checklist/S62777134","https://ebird.org/species/bkhgul",false,bkhgul
193318341,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Pablo Bravo Araya",12/15/2019,2019,12,15,1145,Switzerland,CH-VD,Vaud,,"Lac Lema",46.5061,6.6259,,Inconnu,,Unspecified,,,,,,,,S62338802,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,5.0,1,committed,,"https://ebird.org/profile/MTMyMDk5OA",3025,2692,"https://macaulaylibrary.org/asset/193318341","https://ebird.org/view/checklist/S62338802","https://ebird.org/species/bkhgul",false,bkhgul
193304171,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Fabio Lepori",12/15/2019,2019,12,15,1210,Switzerland,CH-SG,"Sankt Gallen",,Rapperswil--Holzbrücke,47.2206,8.8121,,,,Unspecified,,,,,,,,S62323545,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,0.0,0,committed,,"https://ebird.org/profile/ODE1ODQ5",3888,5184,"https://macaulaylibrary.org/asset/193304171","https://ebird.org/view/checklist/S62323545","https://ebird.org/species/bkhgul",false,bkhgul
193268411,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Thomas Brooks",12/15/2019,2019,12,15,1616,Switzerland,CH-VD,Vaud,,Founex,46.331,6.1921,,Inconnu,"En vol",Unspecified,,,,,,,,S62327255,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,2.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/193268411","https://ebird.org/view/checklist/S62327255","https://ebird.org/species/bkhgul",false,bkhgul
193268391,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Thomas Brooks",12/15/2019,2019,12,15,1616,Switzerland,CH-VD,Vaud,,Founex,46.331,6.1921,,Inconnu,"En vol",Unspecified,,,,,,,,S62327255,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,1.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/193268391","https://ebird.org/view/checklist/S62327255","https://ebird.org/species/bkhgul",false,bkhgul
193268381,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Thomas Brooks",12/15/2019,2019,12,15,1616,Switzerland,CH-VD,Vaud,,Founex,46.331,6.1921,,Inconnu,"En vol",Unspecified,,,,,,,,S62327255,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,2.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/193268381","https://ebird.org/view/checklist/S62327255","https://ebird.org/species/bkhgul",false,bkhgul
193268061,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Thomas Brooks",12/15/2019,2019,12,15,1616,Switzerland,CH-VD,Vaud,,Founex,46.331,6.1921,,Inconnu,"En vol",Unspecified,,,,,,,,S62327255,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,2.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/193268061","https://ebird.org/view/checklist/S62327255","https://ebird.org/species/bkhgul",false,bkhgul
193268041,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Thomas Brooks",12/15/2019,2019,12,15,1616,Switzerland,CH-VD,Vaud,,Founex,46.331,6.1921,,Inconnu,"En vol",Unspecified,,,,,,,,S62327255,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,3.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/193268041","https://ebird.org/view/checklist/S62327255","https://ebird.org/species/bkhgul",false,bkhgul
192577201,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Claudio  Danesi",12/8/2019,2019,12,8,1128,Switzerland,CH-LU,Luzern,,"Luzern--Wasserturm und Kapellbrücke",47.0512,8.3071,,,,Unspecified,,,,,,,,S62138401,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,0.0,0,committed,,"https://ebird.org/profile/OTYwOTg4",1080,1620,"https://macaulaylibrary.org/asset/192577201","https://ebird.org/view/checklist/S62138401","https://ebird.org/species/bkhgul",false,bkhgul
191981011,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Thomas Brooks",12/7/2019,2019,12,7,1645,Switzerland,CH-GE,Genève,,"Port des Eaux-Vives et Baby-plage",46.2092,6.1624,,,,Unspecified,,,,,,,,S62119665,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,0.0,0,committed,,,3456,4608,"https://macaulaylibrary.org/asset/191981011","https://ebird.org/view/checklist/S62119665","https://ebird.org/species/bkhgul",false,bkhgul
191841011,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Chinmay Rahane",6/14/2011,2011,6,14,0,Switzerland,CH-LU,Luzern,,"Luzern--Inseli Park",47.0494,8.3142,,,,Unspecified,,,,,,,,S57708451,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,0.0,0,committed,,"https://ebird.org/profile/NDg0NDIy",2736,3648,"https://macaulaylibrary.org/asset/191841011","https://ebird.org/view/checklist/S57708451","https://ebird.org/species/bkhgul",false,bkhgul
191659801,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Leonardo Rassu",1/11/2015,2015,1,11,0,Switzerland,CH-TI,Ticino,,"Golfo di Ascona",46.1523,8.7664,,,,Unspecified,,,,,,,,S61463458,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,0.0,0,committed,,,2343,3515,"https://macaulaylibrary.org/asset/191659801","https://ebird.org/view/checklist/S61463458","https://ebird.org/species/bkhgul",false,bkhgul
191659561,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Leonardo Rassu",1/11/2015,2015,1,11,0,Switzerland,CH-TI,Ticino,,"Golfo di Ascona",46.1523,8.7664,,,,Unspecified,,,,,,,,S61463458,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,0.0,0,committed,,,2256,3384,"https://macaulaylibrary.org/asset/191659561","https://ebird.org/view/checklist/S61463458","https://ebird.org/species/bkhgul",false,bkhgul
191659241,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Leonardo Rassu",1/11/2015,2015,1,11,0,Switzerland,CH-TI,Ticino,,"Golfo di Ascona",46.1523,8.7664,,,,Unspecified,,,,,,,,S61463458,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,0.0,0,committed,,,1137,1703,"https://macaulaylibrary.org/asset/191659241","https://ebird.org/view/checklist/S61463458","https://ebird.org/species/bkhgul",false,bkhgul
190821261,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Thomas Brooks",12/1/2019,2019,12,1,1315,Switzerland,CH-VD,Vaud,,Coppet,46.3179,6.1875,,Inconnu,,Unspecified,,,,,,,,S61892154,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,4.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/190821261","https://ebird.org/view/checklist/S61892154","https://ebird.org/species/bkhgul",false,bkhgul
190620421,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Thomas Brooks",11/30/2019,2019,11,30,1430,Switzerland,CH-GE,Genève,,"Port des Eaux-Vives et Baby-plage",46.2092,6.1624,,Inconnu,,Unspecified,,,,,,,,S61865290,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,3.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/190620421","https://ebird.org/view/checklist/S61865290","https://ebird.org/species/bkhgul",false,bkhgul
190620401,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Thomas Brooks",11/30/2019,2019,11,30,1430,Switzerland,CH-GE,Genève,,"Port des Eaux-Vives et Baby-plage",46.2092,6.1624,,Inconnu,,Unspecified,,,,,,,,S61865290,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,5.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/190620401","https://ebird.org/view/checklist/S61865290","https://ebird.org/species/bkhgul",false,bkhgul
190620391,Photo,"Chroicocephalus ridibundus","Mouette rieuse","Cygnus olor -- Cygne tuberculé","Thomas Brooks",11/30/2019,2019,11,30,1430,Switzerland,CH-GE,Genève,,"Port des Eaux-Vives et Baby-plage",46.2092,6.1624,,Inconnu,,Unspecified,,,,,,,,S61865290,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,3.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/190620391","https://ebird.org/view/checklist/S61865290","https://ebird.org/species/bkhgul",false,bkhgul
190620381,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Thomas Brooks",11/30/2019,2019,11,30,1430,Switzerland,CH-GE,Genève,,"Port des Eaux-Vives et Baby-plage",46.2092,6.1624,,Inconnu,,Unspecified,,,,,,,,S61865290,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,4.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/190620381","https://ebird.org/view/checklist/S61865290","https://ebird.org/species/bkhgul",false,bkhgul
190620291,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Thomas Brooks",11/30/2019,2019,11,30,1430,Switzerland,CH-GE,Genève,,"Port des Eaux-Vives et Baby-plage",46.2092,6.1624,,Inconnu,,Unspecified,,,,,,,,S61865290,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,3.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/190620291","https://ebird.org/view/checklist/S61865290","https://ebird.org/species/bkhgul",false,bkhgul
190618881,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Thomas Brooks",11/30/2019,2019,11,30,1430,Switzerland,CH-GE,Genève,,"Port des Eaux-Vives et Baby-plage",46.2092,6.1624,,Inconnu,,Unspecified,,,,,,,,S61865290,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,3.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/190618881","https://ebird.org/view/checklist/S61865290","https://ebird.org/species/bkhgul",false,bkhgul
190618871,Photo,"Chroicocephalus ridibundus","Mouette rieuse",,"Thomas Brooks",11/30/2019,2019,11,30,1430,Switzerland,CH-GE,Genève,,"Port des Eaux-Vives et Baby-plage",46.2092,6.1624,,Inconnu,,Unspecified,,,,,,,,S61865290,,,,,,,,,"Chroicocephalus ridibundus",bkhgul,Species,6226.0,,,3.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/190618871","https://ebird.org/view/checklist/S61865290","https://ebird.org/species/bkhgul",false,bkhgul
